IdAluno;Resultado;1>;1>2>;1>46>;1>46>2>;1>46>2>14>;13>;14>;14>14>;14>14>14>;14>14>2>;14>14>31>;14>14>41>;14>2>;14>2>14>;14>2>14>31>;14>2>2>;14>2>2>2>;14>2>3>;14>2>31>;14>2>31>30>;14>2>41>;14>2>41>31>;14>3>;14>3>14>;14>3>2>;14>31>;14>31>14>;14>31>14>41>;14>31>30>;14>31>30>14>;14>31>30>41>;14>31>31>;14>31>41>;14>31>48>;14>31>48>29>;14>41>;14>41>14>;14>41>2>;14>41>41>;14>41>41>41>;14>41>41>41>41>;14>41>41>41>41>41>;14>41>43>;14>41>43>41>;14>41>43>44>;14>43>;14>43>44>;14>43>44>44>;14>43>44>44>44>;14>43>44>44>44>44>;14>43>44>44>44>44>44>;14>43>44>44>44>44>44>44>;14>45>;14>45>43>;14>48>;14>49>;14>49>48>;14>49>48>14>;14>49>49>;14>7>;14>7>5>;14>7>5>5>;14>8>;16>;16>31>;16>31>14>;17>;17>30>;2>;2>1>;2>1>46>;2>1>46>2>;2>1>46>2>14>;2>14>;2>14>2>;2>14>2>14>;2>14>3>;2>14>3>14>;2>14>31>;2>14>31>30>;2>14>41>;2>2>;2>2>14>;2>2>2>;2>3>;2>3>2>;2>3>2>14>;2>31>;2>31>30>;2>41>;2>41>31>;2>46>;2>46>1>;2>46>1>2>;29>;29>14>;29>14>31>;29>48>;29>48>29>;29>48>29>48>;29>48>29>48>29>;3>;3>14>;3>14>31>;3>14>31>30>;3>2>;3>2>1>;3>2>1>46>;3>2>14>;30>;30>14>;30>14>2>;30>14>2>41>;30>14>2>41>31>;30>14>41>;30>14>41>41>;30>14>49>;30>30>;30>30>14>;30>30>14>41>;30>31>;30>41>;30>7>;30>7>5>;30>7>5>5>;31>;31>14>;31>14>31>;31>14>41>;31>30>;31>30>14>;31>30>14>2>;31>30>14>2>41>;31>30>14>2>41>31>;31>30>30>;31>30>30>14>;31>30>30>14>41>;31>30>31>;31>30>41>;31>30>7>;31>30>7>5>;31>30>7>5>5>;31>31>;31>31>30>;31>32>;31>41>;31>48>;31>48>29>;31>48>29>48>;31>48>29>48>29>;31>48>29>48>29>48>;31>48>29>48>29>48>29>;31>48>30>;32>;32>31>;32>31>30>;41>;41>14>;41>14>41>;41>2>;41>2>14>;41>2>31>;41>2>31>30>;41>2>41>;41>31>;41>31>14>;41>31>30>;41>31>30>30>;41>31>30>41>;41>31>48>;41>31>48>29>;41>41>;41>41>2>;41>41>2>14>;41>41>31>;41>41>41>;41>41>41>2>;41>41>41>31>;41>41>41>41>;41>41>41>41>31>;41>41>41>41>41>;41>41>41>41>41>31>;41>41>41>41>41>41>;41>41>41>41>41>41>41>;41>41>41>41>41>41>41>41>;41>41>43>;41>41>43>44>;41>43>;41>43>41>;41>43>41>41>;41>43>44>;41>43>44>44>;41>43>44>44>44>;41>43>44>44>44>44>;41>7>;42>;43>;43>41>;43>41>41>;43>41>41>41>;43>43>;43>43>44>;43>44>;43>44>14>;43>44>44>;43>44>44>14>;43>44>44>44>;43>44>44>44>44>;43>44>44>44>44>44>;43>44>44>44>44>44>44>;43>44>44>44>44>44>44>44>;43>44>44>44>44>44>44>44>44>;44>;44>14>;44>14>31>;44>14>41>;44>14>41>41>;44>43>;44>43>44>;44>44>;44>44>14>;44>44>14>41>;44>44>43>;44>44>43>44>;44>44>44>;44>44>44>14>;44>44>44>14>41>;44>44>44>43>;44>44>44>43>44>;44>44>44>44>;44>44>44>44>14>;44>44>44>44>14>41>;44>44>44>44>44>;44>44>44>44>44>14>;44>44>44>44>44>14>41>;44>44>44>44>44>44>;44>44>44>44>44>44>14>;44>44>44>44>44>44>14>41>;44>44>44>44>44>44>44>;44>44>44>44>44>44>44>44>;45>;45>43>;46>;46>1>;46>1>2>;46>2>;46>2>14>;48>;48>13>;48>14>;48>29>;48>29>14>;48>29>14>31>;48>29>48>;48>29>48>29>;48>29>48>29>48>;48>29>48>29>48>29>;48>30>;49>;49>14>;49>48>;49>48>14>;49>49>;49>49>48>;49>49>48>14>;5>;5>14>;5>5>;5>5>14>;5>5>5>;6>;6>6>;6>6>6>;6>6>6>6>;7>;7>31>;7>5>;7>5>5>;7>6>;8>
32035-7114;insucesso;1;0;0;0;0;0;15;4;1;0;0;1;0;0;0;0;0;0;0;0;0;0;5;0;3;2;0;0;1;0;0;0;0;0;0;3;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;1;1;0;0;6;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;2;0;0;3;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;2;1;0;0;0;0;0;0;0;0;0;0;3;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;3;0;1;1;0;1
35698-7297;insucesso;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
35936-7297;SUCESSO;1;1;0;0;0;0;24;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;2;1;1;1;1;0;0;0;0;0;7;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;3;3;2;0;1;0;0;0;0;0;0;0;0;3;0;0;0;0;2;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2;0;0;0;0;0;1;0;0;0;0;1;0;0;0;4;1;0;1;3;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;0;0;1;1;0;0;0;1;0;1;0;1;0;0;10;1;1;0;6;0;0;3;0;1;0;1;0;0;1;1;4;1;0;3;2;2;2;0;0;6;1;0;0;0;0;5;0;3;0;2;2;1;1;1;1;8;1;0;1;0;0;0;6;1;1;0;0;3;1;1;0;0;3;1;1;2;1;1;2;1;1;1;1;0;0;1;1;1;0;0;5;0;3;0;0;0;0;0;0;0;0;6;1;4;3;2;1;1;0;0;0;0;0;5;1;1;0;1;0;0;0;0;1
36057-7297;SUCESSO;1;1;0;0;0;0;23;6;0;0;0;4;2;0;0;0;0;0;1;1;0;0;0;0;0;2;0;0;1;1;0;0;0;0;0;10;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2;0;0;0;1;1;0;2;1;1;0;0;0;0;0;4;0;0;0;3;1;0;0;0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;0;0;1;0;0;0;0;1;0;1;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;1;1;0;0;0;0;0;0;0;2;2;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1
36131-7297;SUCESSO;1;0;1;1;1;0;13;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;5;2;3;1;0;0;0;0;0;1;0;0;0;5;0;1;3;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;6;1;1;1;1;4;1;0;1;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;2;0;0;3;1;1;0;2;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;2;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;2;1;0;0;0;0;0;0;0;0;0;0;3;1;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
40067-7114;insucesso;1;0;1;1;0;0;10;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;1;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;4;0;0;0;0;0;4;0;4;0;3;2;1;0;0;0;9;1;0;1;0;0;0;9;1;1;0;0;4;1;1;0;0;3;0;0;2;0;0;2;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
40197-7114;insucesso;1;0;1;0;0;0;58;13;2;7;0;0;20;2;0;2;0;0;0;0;0;0;0;0;0;4;1;1;2;0;0;0;0;0;0;13;0;1;5;1;0;0;0;0;0;2;2;2;2;0;0;0;0;0;0;0;0;0;0;2;2;0;0;1;1;1;0;0;25;1;1;0;0;3;0;0;0;0;0;0;2;2;1;0;0;0;0;0;0;2;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;8;2;1;1;5;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;36;0;0;1;0;0;0;0;2;0;1;0;0;0;0;14;0;0;1;4;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;2;1;2;2;1;0;0;0;3;2;0;1;1;0;0;3;2;1;0;0;2;1;1;0;0;2;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;5;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;1;0;0;0;3;0;3;0;0;0
40720-7297;insucesso;1;0;1;0;0;1;14;2;1;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;5;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;4;1;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;4;0;0;0;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;0;0;0;0;0;0;1;0;1;0;0;0;0;7;0;0;0;4;0;0;2;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;2;0;0;0;0;0;2;0;1;0;1;1;0;0;0;0;2;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;1;1;0;0
40755-7114;SUCESSO;1;0;1;1;0;0;19;4;0;1;0;2;3;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;1;0;0;0;0;8;0;1;2;1;1;1;1;0;1;3;3;2;2;2;2;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;8;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;5;2;0;1;3;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;1;0;0;0;0;1;1;0;0;0;0;0;3;0;0;1;2;0;1;1;1;1;1;0;0;0;0;0;2;1;1;1;0;0;0;0;0;7;1;1;1;0;0;6;1;2;0;2;2;2;2;1;1;7;2;1;1;0;2;2;3;1;1;2;2;3;1;1;2;2;2;1;1;2;1;1;2;1;1;1;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;4;2;2;3;0;0;0;1;0
40838-7114;insucesso;1;1;0;0;0;0;13;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;2;0;0;0;0;0;0;4;0;0;0;0;0;0;0;7;0;0;0;4;0;0;0;0;4;0;0;0;0;0;0;0;1;0;1;1;1;0;0;0;0;0;1;1;1;0;11;0;0;3;0;0;0;2;2;0;1;0;0;0;0;4;2;0;1;1;0;0;1;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
40989-7114;insucesso;0;0;0;0;0;0;6;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;1;0;0;0;0;0;0;0;0;0;0;0;3;1;0;0;2;1;0;1;0;0;0;0;0;0;1;0;2;0;0;1;0;0;0;0;0;2;1;1;0;0;0;1;0;1;1;0;0;0;0;0;0;1;1;0;1;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
41125-7114;SUCESSO;1;1;0;0;0;0;15;1;0;0;0;1;3;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;8;0;0;1;0;0;0;3;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;2;2;5;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;2;1;1;1;9;0;0;0;7;0;0;0;0;0;0;0;0;2;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;1;0;0;0;0;2;0;2;0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;4;1;0;3;0;0;0;1;0;4;1;0;0;0;0;3;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;2;0;1;1;0;0
41179-7114;insucesso;0;0;0;0;0;0;18;5;1;0;0;0;3;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;3;1;1;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;2;0;2;1;1;1;1;0;0;0;2;1;0;0;0;0;0;2;1;0;0;0;1;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;1;2;1;1;1;0;0;0;4;0;2;2;0;0
41365-7297;SUCESSO;1;1;0;0;0;0;13;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;1;0;0;2;1;1;0;0;0;0;0;4;0;0;0;4;1;0;0;0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;1;0;1;1;0;0;0;1;0;0;1;1;0;1;1;1;1;1;1;0;0;0;0;1;1;0;0;0;0;0;0;0;2;1;0;0;2;1;1;0;1;0;0;0;0;0;0;0;4;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0
42411-7297;SUCESSO;1;0;1;1;0;0;14;4;1;0;1;1;2;0;0;1;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
44058-7297;SUCESSO;1;0;1;0;0;0;34;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;1;0;1;1;0;2;2;11;0;0;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;2;2;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;6;2;2;3;2;2;2;1;0;0;0;1;1;1;0;5;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;16;1;0;1;5;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;6;6;3;2;2;2;0;2;2;0;46;0;0;1;0;0;0;0;2;0;0;0;0;2;2;16;0;0;1;9;0;1;4;0;3;0;2;2;2;0;0;0;0;0;0;0;0;0;1;0;4;2;2;1;0;0;2;0;1;0;0;0;0;0;0;0;6;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;6;0;1;6;2;2;3;2;2;2;0;0;0;0;0;0;0;0;3;0;3;0;0;0;0;0;0;3;0;3;3;0;0
44112-7114;insucesso;1;1;1;1;0;0;33;3;0;0;0;2;4;2;0;2;0;0;0;0;0;0;1;0;0;2;1;1;0;0;0;0;0;0;0;9;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;5;5;5;0;0;0;0;0;0;8;1;1;1;0;5;1;0;0;0;0;0;1;3;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;1;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;5;6;4;1;2;0;0;0;7;0;6;5;0;0
44176-7114;insucesso;1;0;1;1;0;0;23;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;1;0;0;0;0;0;0;11;0;0;3;1;0;0;0;0;0;2;1;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;1;1;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;33;0;0;2;1;0;0;1;2;0;0;0;0;0;0;12;2;0;1;7;2;0;2;0;1;0;0;0;0;1;0;2;0;0;1;0;0;0;0;0;13;2;2;0;0;0;9;0;5;2;2;1;1;0;0;0;14;5;0;3;1;0;0;9;5;3;0;0;3;1;1;0;0;1;0;0;1;0;0;0;0;0;0;0;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;6;0;0;0;2;0;1;1;0;0
44258-7297;SUCESSO;1;0;1;1;0;0;11;2;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;6;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;2;1;0;1;1;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;1;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;1;1;0;0
44845-7114;insucesso;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;3;2;0;0;0;0;0;0;0;4;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;9;6;0;2;2;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;1;1;0;0
